POZO;FECHA;BFD;TIPO
2385;25/05/2023;888,1;VOLUMETRIC
3162;25/05/2023;291,1;VOLUMETRIC
3711ST;25/05/2023;380,9;VOLUMETRIC
3795;25/05/2023;949,2;VOLUMETRIC
3850;25/05/2023;75,06;VOLUMETRIC
4510;25/05/2023;559,4;VOLUMETRIC
4514;25/05/2023;192,8;VOLUMETRIC
1411;25/05/2023;85,71;VOLUMETRIC
2067;25/05/2023;20,3;VOLUMETRIC
2127;25/05/2023;397;VOLUMETRIC
2141;25/05/2023;420,3;VOLUMETRIC
2531;25/05/2023;5,8;VOLUMETRIC
2625;25/05/2023;476,2;VOLUMETRIC
2697;25/05/2023;1399;VOLUMETRIC
2734;25/05/2023;280,7;VOLUMETRIC
2743;25/05/2023;812;VOLUMETRIC
3061;25/05/2023;217,6;VOLUMETRIC
3446;25/05/2023;545,7;VOLUMETRIC
3447;25/05/2023;438,3;VOLUMETRIC
3508;25/05/2023;292,4;VOLUMETRIC
3509;25/05/2023;332,9;VOLUMETRIC
3533;25/05/2023;108,8;VOLUMETRIC
3537;25/05/2023;758,6;VOLUMETRIC
4684;25/05/2023;759,1;VOLUMETRIC
729;25/05/2023;501,6;VOLUMETRIC
754;25/05/2023;40,4;VOLUMETRIC
2830;25/05/2023;120;PROD_TEST
2024;24/05/2023;1044;VOLUMETRIC
2464;24/05/2023;233,9;VOLUMETRIC
2465;24/05/2023;578,4;VOLUMETRIC
3105;24/05/2023;655;VOLUMETRIC
3126;24/05/2023;1123;VOLUMETRIC
3211;24/05/2023;311,8;VOLUMETRIC
3373;24/05/2023;543,1;VOLUMETRIC
3609;24/05/2023;1522;VOLUMETRIC
1766;24/05/2023;11,4;VOLUMETRIC
1838;24/05/2023;19,97;VOLUMETRIC
2011;24/05/2023;225,1;VOLUMETRIC
2123;24/05/2023;444;VOLUMETRIC
2144;24/05/2023;279,2;VOLUMETRIC
2145;24/05/2023;978,6;VOLUMETRIC
2164;24/05/2023;1138;VOLUMETRIC
2196;24/05/2023;635,7;VOLUMETRIC
2258;24/05/2023;940,1;VOLUMETRIC
227;24/05/2023;998,6;VOLUMETRIC
2598;24/05/2023;14,4;VOLUMETRIC
2606;24/05/2023;12,9;VOLUMETRIC
2624;24/05/2023;515,7;VOLUMETRIC
2635;24/05/2023;2359;VOLUMETRIC
2740;24/05/2023;924;VOLUMETRIC
3020;24/05/2023;493,3;VOLUMETRIC
3442;24/05/2023;642,5;VOLUMETRIC
3536;24/05/2023;412;VOLUMETRIC
3910;24/05/2023;264,7;VOLUMETRIC
4637;24/05/2023;580,1;VOLUMETRIC
4639;24/05/2023;713,8;VOLUMETRIC
4670;24/05/2023;666,6;VOLUMETRIC
903;24/05/2023;7,39;VOLUMETRIC
1057;24/05/2023;550;PROD_TEST
1189;24/05/2023;87;PROD_TEST
2654;24/05/2023;517;PROD_TEST
2734;24/05/2023;152;PROD_TEST
2758;24/05/2023;188;PROD_TEST
2842;24/05/2023;1227;PROD_TEST
3533;24/05/2023;50;PROD_TEST
3201;23/05/2023;865,6;VOLUMETRIC
3226;23/05/2023;530,9;VOLUMETRIC
3278;23/05/2023;407,7;VOLUMETRIC
3282;23/05/2023;866,2;VOLUMETRIC
3660;23/05/2023;426,3;VOLUMETRIC
595;23/05/2023;58,77;VOLUMETRIC
632;23/05/2023;403,2;VOLUMETRIC
1258;23/05/2023;457,6;VOLUMETRIC
1878;23/05/2023;19,4;VOLUMETRIC
2441;23/05/2023;727;VOLUMETRIC
2443;23/05/2023;438,4;VOLUMETRIC
2568;23/05/2023;328,1;VOLUMETRIC
2588;23/05/2023;304,3;VOLUMETRIC
2593;23/05/2023;156,4;VOLUMETRIC
2605;23/05/2023;212,5;VOLUMETRIC
2649;23/05/2023;545,3;VOLUMETRIC
2675;23/05/2023;461,2;VOLUMETRIC
2686;23/05/2023;329,5;VOLUMETRIC
2931;23/05/2023;236,7;VOLUMETRIC
2937;23/05/2023;1092;VOLUMETRIC
2971;23/05/2023;516;VOLUMETRIC
3073;23/05/2023;695,7;VOLUMETRIC
3098;23/05/2023;83,85;VOLUMETRIC
3430;23/05/2023;753,2;VOLUMETRIC
3450;23/05/2023;1905;VOLUMETRIC
3481;23/05/2023;455,5;VOLUMETRIC
3493;23/05/2023;1389;VOLUMETRIC
3521;23/05/2023;64,49;VOLUMETRIC
3522;23/05/2023;248,5;VOLUMETRIC
3927;23/05/2023;775,7;VOLUMETRIC
442;23/05/2023;804,7;VOLUMETRIC
4632;23/05/2023;601,8;VOLUMETRIC
4650;23/05/2023;120,4;VOLUMETRIC
5099;23/05/2023;481;VOLUMETRIC
5100;23/05/2023;113;VOLUMETRIC
2221;23/05/2023;320;PROD_TEST
3IP8;22/05/2023;310,5;VOLUMETRIC
2024;22/05/2023;747,8;VOLUMETRIC
2025;22/05/2023;613,1;VOLUMETRIC
2442;22/05/2023;823,7;VOLUMETRIC
3204;22/05/2023;1628;VOLUMETRIC
3358;22/05/2023;75;VOLUMETRIC
3379;22/05/2023;437,8;VOLUMETRIC
3385;22/05/2023;749,2;VOLUMETRIC
1084;22/05/2023;559;VOLUMETRIC
1203;22/05/2023;182,2;VOLUMETRIC
1204;22/05/2023;380,3;VOLUMETRIC
2071;22/05/2023;792,3;VOLUMETRIC
2210;22/05/2023;902,2;VOLUMETRIC
2440;22/05/2023;612,2;VOLUMETRIC
2520;22/05/2023;388,6;VOLUMETRIC
2521;22/05/2023;821,2;VOLUMETRIC
2608;22/05/2023;624,9;VOLUMETRIC
2670;22/05/2023;1104;VOLUMETRIC
2672;22/05/2023;1065;VOLUMETRIC
2687;22/05/2023;336,9;VOLUMETRIC
3094;22/05/2023;190,6;VOLUMETRIC
3097;22/05/2023;186,6;VOLUMETRIC
3410ST;22/05/2023;36,29;VOLUMETRIC
3419;22/05/2023;169,2;VOLUMETRIC
3431;22/05/2023;1353;VOLUMETRIC
3436;22/05/2023;1213;VOLUMETRIC
3496;22/05/2023;141,5;VOLUMETRIC
3903;22/05/2023;535,5;VOLUMETRIC
3904;22/05/2023;501,1;VOLUMETRIC
4610;22/05/2023;486,9;VOLUMETRIC
4612;22/05/2023;451,9;VOLUMETRIC
5050;22/05/2023;619;VOLUMETRIC
C2PP2;22/05/2023;731,4;VOLUMETRIC
1342;22/05/2023;140;PROD_TEST
1589;21/05/2023;202,6;VOLUMETRIC
195;21/05/2023;775,6;VOLUMETRIC
1U;21/05/2023;505;VOLUMETRIC
2077;21/05/2023;73,4;VOLUMETRIC
2302;21/05/2023;338;VOLUMETRIC
2304;21/05/2023;233,8;VOLUMETRIC
3124;21/05/2023;852,1;VOLUMETRIC
3125;21/05/2023;917,7;VOLUMETRIC
3678;21/05/2023;451,3;VOLUMETRIC
3775;21/05/2023;1574;VOLUMETRIC
1200;21/05/2023;78,52;VOLUMETRIC
1292;21/05/2023;6,6;VOLUMETRIC
1457;21/05/2023;23,19;VOLUMETRIC
1663;21/05/2023;1,19;VOLUMETRIC
1824;21/05/2023;620,5;VOLUMETRIC
2032;21/05/2023;537,6;VOLUMETRIC
2102;21/05/2023;1072;VOLUMETRIC
2283;21/05/2023;1112;VOLUMETRIC
2289;21/05/2023;482,1;VOLUMETRIC
2504;21/05/2023;1210;VOLUMETRIC
2581;21/05/2023;1178;VOLUMETRIC
2647;21/05/2023;626,9;VOLUMETRIC
2997;21/05/2023;830,7;VOLUMETRIC
3081;21/05/2023;423,3;VOLUMETRIC
3412;21/05/2023;92,45;VOLUMETRIC
3936;21/05/2023;149,4;VOLUMETRIC
4613;21/05/2023;762,3;VOLUMETRIC
4643;21/05/2023;379,3;VOLUMETRIC
511;21/05/2023;522,1;VOLUMETRIC
775;21/05/2023;264;VOLUMETRIC
8401;21/05/2023;14,18;VOLUMETRIC
926;21/05/2023;859,4;VOLUMETRIC
2324;20/05/2023;745,1;VOLUMETRIC
2384;20/05/2023;556,3;VOLUMETRIC
2491;20/05/2023;1239;VOLUMETRIC
2498;20/05/2023;381,1;VOLUMETRIC
3101;20/05/2023;742,1;VOLUMETRIC
3127;20/05/2023;360,7;VOLUMETRIC
3145;20/05/2023;649,8;VOLUMETRIC
3359;20/05/2023;980,6;VOLUMETRIC
3366;20/05/2023;504,8;VOLUMETRIC
3701;20/05/2023;929,9;VOLUMETRIC
3727;20/05/2023;1159;VOLUMETRIC
1344;20/05/2023;863,5;VOLUMETRIC
1679;20/05/2023;173,8;VOLUMETRIC
2057;20/05/2023;643,4;VOLUMETRIC
2060;20/05/2023;489,6;VOLUMETRIC
2406;20/05/2023;444,7;VOLUMETRIC
2881;20/05/2023;487,2;VOLUMETRIC
2888;20/05/2023;145,2;VOLUMETRIC
2957;20/05/2023;524,1;VOLUMETRIC
2976;20/05/2023;264,3;VOLUMETRIC
2977;20/05/2023;201,3;VOLUMETRIC
3083;20/05/2023;267;VOLUMETRIC
3472;20/05/2023;236,2;VOLUMETRIC
3916;20/05/2023;489,5;VOLUMETRIC
5014;20/05/2023;26,5;VOLUMETRIC
848;20/05/2023;10,87;VOLUMETRIC
935;20/05/2023;22,2;VOLUMETRIC
1651;19/05/2023;398,7;VOLUMETRIC
2493;19/05/2023;1001;VOLUMETRIC
2496;19/05/2023;65,88;VOLUMETRIC
3166;19/05/2023;179,1;VOLUMETRIC
3376;19/05/2023;932,1;VOLUMETRIC
3675;19/05/2023;172,2;VOLUMETRIC
3719;19/05/2023;1203;VOLUMETRIC
1084;19/05/2023;554;VOLUMETRIC
2042;19/05/2023;799,2;VOLUMETRIC
2110;19/05/2023;593,9;VOLUMETRIC
2181;19/05/2023;138,9;VOLUMETRIC
2243;19/05/2023;752,5;VOLUMETRIC
2274;19/05/2023;791;VOLUMETRIC
2314;19/05/2023;542,5;VOLUMETRIC
2375;19/05/2023;581,3;VOLUMETRIC
2400;19/05/2023;33,1;VOLUMETRIC
2640;19/05/2023;155,1;VOLUMETRIC
2746;19/05/2023;662;VOLUMETRIC
2816;19/05/2023;340,3;VOLUMETRIC
2820;19/05/2023;646,5;VOLUMETRIC
2851;19/05/2023;183,5;VOLUMETRIC
2880;19/05/2023;311,2;VOLUMETRIC
2884;19/05/2023;632,1;VOLUMETRIC
2942;19/05/2023;744,4;VOLUMETRIC
2946;19/05/2023;563,2;VOLUMETRIC
3093;19/05/2023;450,2;VOLUMETRIC
3441;19/05/2023;1100;VOLUMETRIC
3915;19/05/2023;996;VOLUMETRIC
5097;19/05/2023;426,6;VOLUMETRIC
5201;19/05/2023;130,9;VOLUMETRIC
5202;19/05/2023;178,6;VOLUMETRIC
710;19/05/2023;54,7;VOLUMETRIC
849;19/05/2023;5,83;VOLUMETRIC
4503;19/05/2023;1583;PROD_TEST
2345;18/05/2023;599;VOLUMETRIC
3209;18/05/2023;678,4;VOLUMETRIC
3210;18/05/2023;836,7;VOLUMETRIC
3714;18/05/2023;1206;VOLUMETRIC
3864;18/05/2023;671,7;VOLUMETRIC
391;18/05/2023;53,79;VOLUMETRIC
1717;18/05/2023;35,4;VOLUMETRIC
2133;18/05/2023;646;VOLUMETRIC
2198;18/05/2023;922,8;VOLUMETRIC
2274;18/05/2023;776,8;VOLUMETRIC
2276;18/05/2023;1050;VOLUMETRIC
2542;18/05/2023;180,6;VOLUMETRIC
2577;18/05/2023;1205;VOLUMETRIC
2583;18/05/2023;649,9;VOLUMETRIC
2636;18/05/2023;322,4;VOLUMETRIC
2659;18/05/2023;443,9;VOLUMETRIC
2804;18/05/2023;786,1;VOLUMETRIC
2857;18/05/2023;213,3;VOLUMETRIC
2871;18/05/2023;1021;VOLUMETRIC
2989;18/05/2023;949,7;VOLUMETRIC
3511;18/05/2023;1455;VOLUMETRIC
3919;18/05/2023;527,1;VOLUMETRIC
3950;18/05/2023;719;VOLUMETRIC
5102;18/05/2023;62,95;VOLUMETRIC
5869;18/05/2023;76,62;VOLUMETRIC
716;18/05/2023;419;VOLUMETRIC
750;18/05/2023;855,6;VOLUMETRIC
885;18/05/2023;283,9;VOLUMETRIC
941;18/05/2023;682,3;VOLUMETRIC
2691;18/05/2023;299;PROD_TEST
1559;17/05/2023;133,3;VOLUMETRIC
3643;17/05/2023;458,5;VOLUMETRIC
3713;17/05/2023;939,6;VOLUMETRIC
3856;17/05/2023;1146;VOLUMETRIC
1045;17/05/2023;292,8;VOLUMETRIC
1053;17/05/2023;1007;VOLUMETRIC
2117;17/05/2023;216;VOLUMETRIC
2377;17/05/2023;226,2;VOLUMETRIC
2379;17/05/2023;548,3;VOLUMETRIC
2381;17/05/2023;660,1;VOLUMETRIC
2458;17/05/2023;115,85;VOLUMETRIC
2601;17/05/2023;424;VOLUMETRIC
2790;17/05/2023;54,07;VOLUMETRIC
2810;17/05/2023;811,8;VOLUMETRIC
2823;17/05/2023;1628;VOLUMETRIC
2833;17/05/2023;279,4;VOLUMETRIC
2877;17/05/2023;357,8;VOLUMETRIC
2889;17/05/2023;956,7;VOLUMETRIC
3000;17/05/2023;1023;VOLUMETRIC
3037;17/05/2023;126,7;VOLUMETRIC
4622;17/05/2023;214,3;VOLUMETRIC
4669;17/05/2023;489,8;VOLUMETRIC
5055;17/05/2023;309;VOLUMETRIC
5105;17/05/2023;53,85;VOLUMETRIC
2389;16/05/2023;833,2;VOLUMETRIC
2391;16/05/2023;7,5;VOLUMETRIC
2495;16/05/2023;553,4;VOLUMETRIC
3129;16/05/2023;50,96;VOLUMETRIC
3394;16/05/2023;1044;VOLUMETRIC
3630;16/05/2023;316,5;VOLUMETRIC
3647;16/05/2023;500,4;VOLUMETRIC
3652;16/05/2023;461,9;VOLUMETRIC
3858;16/05/2023;916;VOLUMETRIC
1047;16/05/2023;1113;VOLUMETRIC
1524;16/05/2023;10,9;VOLUMETRIC
2299;16/05/2023;617,5;VOLUMETRIC
2313;16/05/2023;436,5;VOLUMETRIC
2332;16/05/2023;522,4;VOLUMETRIC
2399;16/05/2023;647,2;VOLUMETRIC
2634;16/05/2023;1713;VOLUMETRIC
2732;16/05/2023;852,6;VOLUMETRIC
2792;16/05/2023;379;VOLUMETRIC
2795;16/05/2023;280,9;VOLUMETRIC
2797;16/05/2023;1179;VOLUMETRIC
2831;16/05/2023;1142;VOLUMETRIC
2832;16/05/2023;722,2;VOLUMETRIC
2865;16/05/2023;698;VOLUMETRIC
2952;16/05/2023;433;VOLUMETRIC
3042;16/05/2023;937,8;VOLUMETRIC
3092;16/05/2023;298,2;VOLUMETRIC
3429;16/05/2023;460,6;VOLUMETRIC
3439;16/05/2023;469,1;VOLUMETRIC
3458;16/05/2023;366,9;VOLUMETRIC
3591;16/05/2023;350;VOLUMETRIC
3596;16/05/2023;406;VOLUMETRIC
5048;16/05/2023;121;VOLUMETRIC
5103;16/05/2023;136,2;VOLUMETRIC
875;16/05/2023;75,53;VOLUMETRIC
876;16/05/2023;33,84;VOLUMETRIC
2923;16/05/2023;500;PROD_TEST
2451;15/05/2023;198,2;VOLUMETRIC
3208;15/05/2023;1053;VOLUMETRIC
3607;15/05/2023;935,5;VOLUMETRIC
3651;15/05/2023;803,9;VOLUMETRIC
3759;15/05/2023;213;VOLUMETRIC
1056;15/05/2023;760,6;VOLUMETRIC
1066;15/05/2023;424,4;VOLUMETRIC
1864;15/05/2023;3,38;VOLUMETRIC
1881;15/05/2023;1279;VOLUMETRIC
2097;15/05/2023;607,7;VOLUMETRIC
2153;15/05/2023;673,1;VOLUMETRIC
2362;15/05/2023;117,5;VOLUMETRIC
2460;15/05/2023;347,5;VOLUMETRIC
2550;15/05/2023;1129;VOLUMETRIC
2562;15/05/2023;790,6;VOLUMETRIC
2589;15/05/2023;1145;VOLUMETRIC
2796;15/05/2023;992;VOLUMETRIC
2815;15/05/2023;241,7;VOLUMETRIC
2834;15/05/2023;214,8;VOLUMETRIC
2860;15/05/2023;941;VOLUMETRIC
2914;15/05/2023;659,9;VOLUMETRIC
3016;15/05/2023;772,7;VOLUMETRIC
3017;15/05/2023;845,9;VOLUMETRIC
3041;15/05/2023;933;VOLUMETRIC
3457;15/05/2023;890,6;VOLUMETRIC
3461;15/05/2023;431,7;VOLUMETRIC
3464;15/05/2023;860,5;VOLUMETRIC
3470;15/05/2023;150,8;VOLUMETRIC
4807;15/05/2023;632;VOLUMETRIC
5052;15/05/2023;343;VOLUMETRIC
875;15/05/2023;62,88;VOLUMETRIC
2026;14/05/2023;446,8;VOLUMETRIC
3167;14/05/2023;323,3;VOLUMETRIC
3203;14/05/2023;501,9;VOLUMETRIC
3212;14/05/2023;564,6;VOLUMETRIC
3624;14/05/2023;451,3;VOLUMETRIC
3645;14/05/2023;849,1;VOLUMETRIC
3655;14/05/2023;573,2;VOLUMETRIC
3691;14/05/2023;611,5;VOLUMETRIC
1230;14/05/2023;332,9;VOLUMETRIC
2030;14/05/2023;290,8;VOLUMETRIC
2038;14/05/2023;1089;VOLUMETRIC
2109;14/05/2023;573;VOLUMETRIC
2209;14/05/2023;560,7;VOLUMETRIC
2295;14/05/2023;900,2;VOLUMETRIC
2335;14/05/2023;989,7;VOLUMETRIC
2363;14/05/2023;866,8;VOLUMETRIC
2596;14/05/2023;2331;VOLUMETRIC
2836;14/05/2023;1137;VOLUMETRIC
2866;14/05/2023;980;VOLUMETRIC
2894;14/05/2023;616,5;VOLUMETRIC
2914;14/05/2023;664,5;VOLUMETRIC
2960;14/05/2023;768,7;VOLUMETRIC
2962;14/05/2023;322,7;VOLUMETRIC
2970;14/05/2023;1019;VOLUMETRIC
2988;14/05/2023;639,6;VOLUMETRIC
3043;14/05/2023;935,3;VOLUMETRIC
3059;14/05/2023;785,5;VOLUMETRIC
3060;14/05/2023;553;VOLUMETRIC
3463;14/05/2023;318,5;VOLUMETRIC
3468;14/05/2023;70,09;VOLUMETRIC
3469;14/05/2023;150,15;VOLUMETRIC
5054;14/05/2023;13,03;VOLUMETRIC
711;14/05/2023;641,4;VOLUMETRIC
868;14/05/2023;227,1;VOLUMETRIC
3149;13/05/2023;281,2;VOLUMETRIC
3320;13/05/2023;469,2;VOLUMETRIC
3637;13/05/2023;1202;VOLUMETRIC
3677;13/05/2023;641,5;VOLUMETRIC
1665;13/05/2023;1021;VOLUMETRIC
2105;13/05/2023;571,4;VOLUMETRIC
2198;13/05/2023;874,6;VOLUMETRIC
2213;13/05/2023;1223;VOLUMETRIC
2219;13/05/2023;942,8;VOLUMETRIC
2291;13/05/2023;511;VOLUMETRIC
2296;13/05/2023;251,3;VOLUMETRIC
2329;13/05/2023;652,9;VOLUMETRIC
2575;13/05/2023;795,5;VOLUMETRIC
2754;13/05/2023;34,37;VOLUMETRIC
2783;13/05/2023;585,5;VOLUMETRIC
2789;13/05/2023;569;VOLUMETRIC
2826;13/05/2023;780,6;VOLUMETRIC
2855;13/05/2023;479;VOLUMETRIC
2868;13/05/2023;451,6;VOLUMETRIC
2902;13/05/2023;344;VOLUMETRIC
2984;13/05/2023;824;VOLUMETRIC
3044;13/05/2023;167,8;VOLUMETRIC
3053;13/05/2023;554,4;VOLUMETRIC
3438;13/05/2023;1177;VOLUMETRIC
3474;13/05/2023;1290;VOLUMETRIC
4004;13/05/2023;373;VOLUMETRIC
641;13/05/2023;980,3;VOLUMETRIC
3319;13/05/2023;700;PROD_TEST
4606;13/05/2023;302;PROD_TEST
2453;12/05/2023;1059;VOLUMETRIC
3310;12/05/2023;782,1;VOLUMETRIC
3792;12/05/2023;1056;VOLUMETRIC
4537;12/05/2023;819,4;VOLUMETRIC
1775;12/05/2023;410;VOLUMETRIC
2167;12/05/2023;778,5;VOLUMETRIC
2173;12/05/2023;87,5;VOLUMETRIC
2207;12/05/2023;593;VOLUMETRIC
2394;12/05/2023;743,4;VOLUMETRIC
2560;12/05/2023;615;VOLUMETRIC
2574;12/05/2023;309,6;VOLUMETRIC
2582;12/05/2023;791,5;VOLUMETRIC
2743;12/05/2023;823;VOLUMETRIC
2818;12/05/2023;609;VOLUMETRIC
2890;12/05/2023;283,4;VOLUMETRIC
2940;12/05/2023;824,8;VOLUMETRIC
2941;12/05/2023;1539;VOLUMETRIC
3071;12/05/2023;230,7;VOLUMETRIC
3300;12/05/2023;803,8;VOLUMETRIC
3301;12/05/2023;389,7;VOLUMETRIC
3421;12/05/2023;82,66;VOLUMETRIC
3434;12/05/2023;225,2;VOLUMETRIC
3460;12/05/2023;161,9;VOLUMETRIC
3539;12/05/2023;466,9;VOLUMETRIC
4653;12/05/2023;373,2;VOLUMETRIC
5100;12/05/2023;124;VOLUMETRIC
937;12/05/2023;669,7;VOLUMETRIC
2123;12/05/2023;244;PROD_TEST
2013;11/05/2023;535,3;VOLUMETRIC
2476;11/05/2023;900,3;VOLUMETRIC
3149;11/05/2023;325;VOLUMETRIC
3224;11/05/2023;1470;VOLUMETRIC
3247;11/05/2023;233,4;VOLUMETRIC
3390ST;11/05/2023;396;VOLUMETRIC
3685;11/05/2023;264,1;VOLUMETRIC
3796;11/05/2023;626,9;VOLUMETRIC
4554;11/05/2023;22,62;VOLUMETRIC
1064;11/05/2023;751,4;VOLUMETRIC
1471;11/05/2023;424,9;VOLUMETRIC
1697;11/05/2023;6,7;VOLUMETRIC
1769;11/05/2023;6,9;VOLUMETRIC
1868;11/05/2023;13;VOLUMETRIC
2165;11/05/2023;1231;VOLUMETRIC
2370;11/05/2023;556,6;VOLUMETRIC
2548;11/05/2023;265,4;VOLUMETRIC
2801;11/05/2023;933;VOLUMETRIC
2802;11/05/2023;631,5;VOLUMETRIC
2853;11/05/2023;61,9;VOLUMETRIC
3355;11/05/2023;540,4;VOLUMETRIC
3356;11/05/2023;649,6;VOLUMETRIC
3466;11/05/2023;101,2;VOLUMETRIC
5058;11/05/2023;42,3;VOLUMETRIC
718;11/05/2023;226;VOLUMETRIC
942;11/05/2023;48,2;VOLUMETRIC
2419;10/05/2023;119,3;VOLUMETRIC
2433;10/05/2023;776,3;VOLUMETRIC
3142;10/05/2023;984,9;VOLUMETRIC
3218;10/05/2023;1359;VOLUMETRIC
3618;10/05/2023;66,55;VOLUMETRIC
3770;10/05/2023;163,8;VOLUMETRIC
3781;10/05/2023;513,3;VOLUMETRIC
1028;10/05/2023;82,69;VOLUMETRIC
2083;10/05/2023;446,3;VOLUMETRIC
2218;10/05/2023;825,3;VOLUMETRIC
