REGISTRO;POZO;ALS;AREA;FORMACION;FechaMonitoreo; BWPD ; BOPD ; BFPD ;BSW; PPMaverage ; PPMmax ;P25to45;P45to106;P106to250;P250to425;PM425;CUADRILLA
2992;2532;ESP;CIRA NORTE;MUGROSA C;30-abr;1021;97;1118;91,32%;64,41;228,39;22,09%;;33,32%;35,22%;9,36%;C2
2993;2222;BM;CIRA NORTE;MUGROSA C;30-abr;349;33,5;382,5;91,35%;183,35;191,39;75,58%;;21,04%;1,99%;1,39%;C2
2994;2237;BM;CIRA NORTE;MUGROSA C;2-may;981;28;1009;97,22%;19,95;19,99;66,53%;;23,85%;3,16%;6,46%;C2
2995;2852;BM;CIRA ESTE;MUGROSA C;2-may;358;20,6;378,6;94,67%;7,72;24,86;59,84%;;31,57%;6,97%;1,62%;C2
2996;2541;PCP;CIRA NORTE;MUGROSA C;2-may;527;43,1;570,1;92,37%;8,77;11,97;76,81%;;15,93%;3,01%;4,25%;C2
2997;2498;BM;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;2-may;258;27,5;285,5;90,38%;9,7;9,74;68,02%;;14,63%;12,74%;4,61%;C2
2998;2901;PCP;CIRA SUR;MUGROSA C;30-abr;1132;93;1225;92,39%;10,15;10,21;37,21%;;41,21%;17,31%;4,26%;C3
2999;264;BM;CIRA SUR;MUGROSA C;30-abr;802;46,9;848,9;94,44%;5,5;5,51;40,14%;;43,27%;9,86%;6,73%;C3
3000;2691;PCP;CIRA SUR;MUGROSA C;2-may;581;11;592;98,16%;21,7;26,83;81,97%;;13,90%;1,59%;2,54%;C3
3001;121;BM;INFA CENTRAL;LA PAZ C;2-may;612;58;670;91,30%;32;32,34;50,04%;;32,43%;14,45%;3,08%;C3
3002;2258;BM;CIRA ESTE;MUGROSA C;2-may;627;69,5;696,5;90,00%;5,08;9,04;66,34%;;30,35%;2,33%;0,97%;C3
3003;2520;BM;CIRA ESTE;MUGROSA C;2-may;209;17,72;226,72;92,30%;15,08;20,16;65,12%;;30,66%;3,29%;0,93%;C3
3004;3795;PCP;INFA CENTRAL;MUGROSA C;3-may;516;59,7;575,7;89,58%;34,9;36,18;52,66%;;34,85%;8,93%;3,57%;C1
3005;3767;BM;INFA CENTRAL;MUGROSA C;3-may;671;35,87;706,87;94,94%;137,96;380,11;92,53%;;4,29%;1,60%;1,58%;C1
3006;3940;ESP;CIRA NORTE;MUGROSA C;3-may;787;29,3;816,3;96,45%;2307,27;8053,15;29,47%;;69,01%;1,35%;0,17%;C1
3007;2278;PCP;CIRA NORTE;MUGROSA C;3-may;633;52,6;685,6;92,31%;42,7;169,8;43,23%;;39,07%;16,40%;1,30%;C1
3008;3498;BM;;;3-may;11;359,2;370,2;3,00%;35,04;71,65;23,90%;;50,74%;24,54%;0,82%;C2
3009;3201;BM;INFA SUR;MUGROSA C;3-may;1089;55,22;1144,22;95,15%;7,37;7,81;44,73%;;18,91%;10,73%;25,64%;C2
3010;3385;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;3-may;1267;55,49;1322,49;95,83%;205,08;209,45;4,68%;;22,13%;54,03%;19,16%;C2
3011;4614;BM;;;3-may;222;171,2;393,2;56,49%;76,01;178,3;47,56%;;43,74%;8,70%;0,00%;C2
3012;2570;PCP;CIRA NORTE;MUGROSA C;3-may;265;42,9;307,9;86,00%;117,25;124,32;98,26%;;0,94%;0,43%;0,37%;C3
3013;2212;ESP;CIRA SUR;MUGROSA C;3-may;1432;67,89;1499,89;95,45%;210,09;212,97;54,39%;;32,34%;12,74%;0,53%;C3
3014;3906;PCP;CIRA NORTE;MUGROSA C;3-may;369;31;400;92,30%;25,43;36,52;47,73%;;31,13%;10,44%;10,70%;C3
3015;342;BM;CIRA SUR;MUGROSA C;3-may;784;13,8;797,8;92,30%;9,82;14,34;52,82%;;33,42%;8,89%;4,88%;C3
3016;4608;TUNDRA;;;6-may;1;15,64;16,64;7,60%;280,75;426,04;72,59%;;26,79%;0,25%;0,37%;C3
3017;4662;PCP;;;6-may;49;172;221;22,00%;37,11;37,84;71,20%;;26,72%;1,38%;0,71%;C3
3018;4005;PCP;;;6-may;335;60,3;395,3;84,82%;3,66;5,75;47,62%;;27,84%;11,36%;13,19%;C3
3019;4004;PCP;CIRA ESTE;MUGROSA C;6-may;590;21;611;96,60%;390,68;677,13;97,34%;;2,29%;0,17%;0,20%;C3
3020;2757;PCP;CIRA ESTE;MUGROSA C;7-may;102;16,25;118,25;86,19%;28,22;42,58;72,93%;;14,03%;4,84%;8,19%;C3
3021;4510;BM;INFA SUR;MUGROSA CD;7-may;698;40;738;94,62%;23,97;24,27;79,91%;;17,70%;1,09%;1,30%;C3
3022;2265;PCP;CIRA NORTE;MUGROSA C;6-may;600;59,65;659,65;91,00%;270,03;434,73;40,01%;;46,80%;10,33%;2,87%;C1
3023;2263;BM;CIRA NORTE;MUGROSA C;6-may;331;45;376;88,16%;46,43;46,64;72,61%;;24,97%;1,65%;0,77%;C1
3024;2287;ESP;CIRA NORTE;MUGROSA C;6-may;1436;29;1465;98,00%;17,1;94,29;50,74%;;23,24%;16,18%;9,85%;C1
3025;2273;ESP;CIRA NORTE;MUGROSA C;6-may;704;50,5;754,5;93,27%;205,76;210,35;67,31%;;27,97%;3,32%;1,40%;C1
3026;3315;PCP;CIRA ESTE;MUGROSA C;6-may;119;55,6;174,6;67,90%;117,97;118,92;87,51%;;11,69%;0,66%;0,14%;C2
3027;2536;ESP;CIRA ESTE;MUGROSA C;6-may;1066;39,81;1105,81;96,43%;172,85;191,3;41,94%;;33,37%;21,67%;3,02%;C2
3028;3020;ESP;;;6-may;3,9531;51,0269;54,98;7,19%;127,43;129,1;0,09%;;1,33%;1,96%;96,61%;C2
3029;1726;BM;CIRA NORTE;MUGROSA B;6-may;85;67,5;152,5;55,69%;651,81;1176,51;15,96%;;67,22%;5,67%;11,14%;C2
3030;3909;PCP;CIRA NORTE;MUGROSA C;7-may;177;16,39;193,39;91,69%;84,29;84,59;98,69%;;0,52%;0,79%;0,00%;C2
3031;3498;BM;;;7-may;11;359,2;370,2;3,00%;188,89;403,92;87,12%;;9,94%;2,83%;0,11%;C2
3032;5100;PCP;CIRA SUR;MUGROSA B;7-may;59;29,54;88,54;66,47%;7,62;8,43;48,78%;;13,78%;35,17%;2,27%;C1
3033;5099;BM;CIRA SUR;MUGROSA B;7-may;165;31,31;196,31;84,27%;1,9;2,04;46,85%;;25,17%;13,29%;14,69%;C1
3034;5049;BM;CIRA SUR;MUGROSA B;7-may;10;31;41;24,00%;57,86;58,72;28,25%;;60,94%;9,46%;1,35%;C1
3035;5048;BM;CIRA SUR;MUGROSA B;7-may;133;32;165;80,67%;2,33;2,83;28,04%;;49,74%;16,40%;5,82%;C1
3036;3767;BM;INFA CENTRAL;MUGROSA C;8-may;380;20;400;94,94%;56,83;84,75;93,90%;;5,45%;0,31%;0,34%;C1
3037;2491;ESP;INFA NORTE;MUGROSA C;8-may;1206;108,38;1314,38;91,74%;313,92;318,96;27,60%;;39,02%;28,62%;4,76%;C1
3038;3767;BM;INFA CENTRAL;MUGROSA C;9-may;380;20;400;94,94%;34,58;35,52;93,04%;;4,91%;1,00%;1,04%;C1
3039;2491;ESP;INFA NORTE;MUGROSA C;9-may;1206;108,38;1314,38;91,74%;308,88;313,2;21,32%;;33,30%;36,63%;8,75%;C1
3040;3017;PCP;CIRA ESTE;LA PAZ C;7-may;480;56,4;536,4;89,51%;111,9;112,54;82,14%;;15,90%;1,75%;0,21%;C2
3041;4614;BM;;;7-may;222;171,2;393,2;56,49%;40,57;79,99;49,49%;;43,37%;5,91%;1,22%;C2
3042;2382;BM;INFA NORTE;MUGROSA C;8-may;912;31,23;943,23;96,67%;4,85;7,74;25,00%;;70,64%;2,84%;1,52%;C2
3043;;;;;;;;;;;;;;;;;
3044;3201;BM;INFA SUR;MUGROSA C;9-may;1089;55,22;1144,22;95,15%;22,42;27,3;23,89%;;45,86%;17,81%;12,43%;C2
3045;3957;BM;CIRA SUR;MUGROSA C;7-may;569;46,4;615,4;92,53%;14,64;14,77;18,25%;;7,57%;2,23%;71,95%;C3
3046;3464;PCP;CIRA SUR;MUGROSA C;7-may;617;36,8;653,8;94,30%;125,53;126,67;61,59%;;36,82%;0,91%;0,67%;C3
3047;3699;PCP;INFA SUR;MUGROSA C;8-may;75;90,59;165,59;45,47%;15,26;28,46;64,92%;;27,67%;5,45%;1,96%;C3
3048;4541;TUNDRA;INFA SUR;MUGROSA CD;8-may;675;10,4;685,4;98,49%;27,33;88,06;64,37%;;27,83%;3,36%;4,43%;C3
3049;3210;BM;INFA SUR;MUGROSA C;9-may;1008;20;1028;98,08%;8,67;8,73;59,15%;;37,97%;2,42%;0,45%;C3
3050;3120;BM;INFA CENTRAL;MUGROSA C;9-may;1110;73,83;1183,83;93,79%;312,03;313,51;84,41%;;14,77%;0,79%;0,03%;C3
3051;4527;ESP;;;9-may;877;74,1;951,1;92,22%;127,58;129,32;40,98%;;48,26%;6,72%;4,04%;C1
3052;2013;BM;INFA NORTE;MUGROSA C;9-may;357;16,2;373,2;95,75%;260,18;266,14;3,51%;;12,11%;4,51%;79,86%;C1
3053;3767;BM;INFA CENTRAL;MUGROSA C;10-may;380;20;400;94,94%;30,9;31,31;94,95%;;3,96%;0,46%;0,63%;C1
3054;2123;PCP;CIRA SUR;MUGROSA B;10-may;106;94;200;53,00%;16,56;16,9;35,07%;;35,07%;26,97%;2,88%;C1
3055;3940;ESP;CIRA NORTE;MUGROSA C;10-may;787;29,3;816,3;96,45%;57,53;151,78;7,36%;;64,46%;26,49%;1,69%;C1
3056;2265;PCP;CIRA NORTE;MUGROSA C;10-may;600;59,65;659,65;91,00%;1058,57;1103,36;81,62%;;17,78%;0,45%;0,16%;C1
3057;5051;BM;CIRA SUR;MUGROSA C;13-may;0;8,6;8,6;1,34%;4,93;9,08;18,02%;;7,66%;10,59%;63,74%;C1
