REGISTRO;POZO;ALS;AREA;FORMACION;FechaMonitoreo; BWPD ; BOPD ; BFPD ;BSW; PPMaverage ; PPMmax ;P25to45;P45to106;P106to250;P250to425;PM425;CUADRILLA
3135;3118;BM;INFA CENTRAL;MUGROSA C;20-may;100;14,9;114,9;86,74%;4,95;10,98;63,39%;;20,98%;9,08%;6,55%;C1
3136;3767;BM;INFA CENTRAL;MUGROSA C;21-may;380;20;400;94,94%;140,21;151,49;91,57%;;7,67%;0,36%;0,40%;C1
3137;2127;PCP;CIRA SUR;MUGROSA B;21-may;18;43;61;30,26%;2,5;2,67;38,38%;;35,68%;16,76%;9,19%;C1
3138;5102;BM;CIRA SUR;MUGROSA C;21-may;1;68,75;69,75;1,03%;1,79;7,04;39,23%;;23,08%;27,69%;10,00%;C1
3139;5105;BM;CIRA SUR;MUGROSA C;21-may;1;16,85;17,85;6,19%;1,73;1,82;50,00%;;25,37%;9,70%;14,93%;C1
3140;5103;BM;CIRA SUR;MUGROSA C;22-may;0;12,14;12,14;0,30%;1,7;2,44;51,20%;;32,00%;11,20%;5,60%;C1
3141;2936;BM;CIRA SUR;MUGROSA B;22-may;8;8;16;51,71%;2,87;2,95;35,32%;;17,89%;20,18%;26,61%;C1
3142;3767;BM;INFA CENTRAL;MUGROSA C;22-may;380;20;400;94,94%;61,61;166,16;90,49%;;7,64%;1,66%;0,21%;C1
3143;5058;BM;CIRA SUR;MUGROSA B;22-may;5;37,02;42,02;12,18%;4,76;8,4;35,36%;;29,55%;10,29%;24,80%;C1
3144;2251;BM;CIRA NORTE;MUGROSA C;20-may;839;42,7;881,7;95,15%;16,83;24,3;53,75%;;26,51%;14,70%;5,04%;C2
3145;3378;BM;INFA NORTE;MUGROSA C;20-may;744;10,11;754,11;98,68%;293,88;550,69;97,95%;;1,40%;0,35%;0,31%;C2
3146;3017;PCP;CIRA ESTE;LA PAZ;21-may;480;56,4;536,4;89,51%;293,59;443,2;77,94%;;16,19%;1,46%;4,40%;C2
3147;3201;BM;INFA SUR;MUGROSA C;21-may;1089;55,22;1144,22;95,15%;23,06;39,58;26,67%;;35,29%;13,88%;24,16%;C2
3148;3385;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;21-may;1267;55,49;1322,49;95,83%;235,96;683,42;3,20%;;18,46%;59,93%;18,41%;C2
3149;3509;TUNDRA;CIRA ESTE;;21-may;506;47,4;553,4;91,46%;23,3;36,55;28,02%;;50,22%;12,07%;9,70%;C2
3150;2883;BM;CIRA ESTE;;22-may;217;22,6;239,6;90,48%;21,74;55,76;66,24%;;26,31%;4,15%;3,30%;C2
3151;3378;BM;INFA NORTE;;22-may;744;10,11;754,11;98,68%;54,23;94,76;90,75%;;4,39%;2,17%;2,69%;C2
3152;2101;ESP;CIRA SUR;MUGROSA C;22-may;1601;98;1699;94,22%;684,14;1773,99;57,69%;;32,75%;9,08%;0,67%;C2
3153;2852;BM;CIRA ESTE;MUGROSA C;22-may;358;20,6;378,6;94,67%;56,32;98,77;58,04%;;29,96%;8,03%;3,97%;C2
3154;342;BM;CIRA SUR;MUGROSA C;20-may;785;12,8;797,8;98,36%;118,66;119,8;69,76%;;28,84%;0,89%;0,50%;C3
3155;2217;BM;CIRA NORTE;MUGROSA C;20-may;779;30;809;96,30%;5,39;5,41;52,68%;;23,17%;12,93%;11,22%;C3
3156;2691;PCP;CIRA SUR;MUGROSA C;21-may;581;11,08;592,08;98,16%;22,61;23,01;85,28%;;13,00%;0,86%;0,86%;C3
3157;4632;ESP;CIRA SUR;MUGROSA C;21-may;486;33,57;519,57;93,59%;42,79;43,1;62,86%;;34,04%;2,73%;0,37%;C3
3158;3957;BM;CIRA SUR;MUGROSA C;21-may;569;46,4;615,4;92,53%;6,18;6,2;40,43%;;21,06%;13,19%;25,32%;C3
3159;3464;PCP;CIRA SUR;MUGROSA C;21-may;617;36,8;653,8;94,30%;5,64;5,7;56,91%;;33,18%;8,53%;1,38%;C3
3160;2182;ESP;CIRA NORTE;MUGROSA C;22-may;409;72,8;481,8;84,94%;653,16;656,38;25,35%;;50,01%;21,06%;3,58%;C3
3161;2630;ESP;CIRA NORTE;MUGROSA C;22-may;1221;84,63;1305,63;93,55%;124,98;385,95;58,00%;;38,28%;3,18%;0,54%;C3
3162;2794;ESP;CIRA ESTE;COLORADO A;22-may;680;25,4;705,4;96,40%;117,45;118,98;60,60%;;36,58%;1,98%;0,84%;C3
3163;2557;PCP;CIRA NORTE;MUGROSA C;22-may;157;85,17;242,17;64,65%;67,08;87,85;88,43%;;7,50%;2,62%;1,46%;C3
3164;2757;PCP;CIRA ESTE;MUGROSA C;23-may;102;16,25;118,25;86,20%;34,48;35,32;71,80%;;14,96%;6,04%;7,20%;C3
3165;2212;ESP;CIRA SUR;MUGROSA C;23-may;1432;67,89;1499,89;95,46%;277,94;280,25;46,13%;;23,26%;12,98%;17,64%;C3
3166;2794;ESP;CIRA ESTE;COLORADO A;23-may;680;25,4;705,4;96,40%;26,5;63,87;61,13%;;36,55%;1,88%;0,44%;C3
3167;3417;PCP;CIRA SUR;MUGROSA C;23-may;997;12,96;1009,96;98,75%;7,66;16,11;76,05%;;21,84%;1,74%;0,37%;C3
3168;2170;ESP;CIRA SUR;MUGROSA C;23-may;828;88,1;916,1;90,35%;911,64;1726,12;82,64%;;15,92%;1,29%;0,15%;C2
3169;2104;BM;CIRA SUR;MUGROSA C;23-may;377;31,47;408,47;92,31%;4,72;10,66;67,82%;;22,87%;6,91%;2,39%;C2
3170;2101;ESP;CIRA SUR;MUGROSA C;23-may;1601;98;1699;94,22%;86,59;191,58;18,84%;;52,47%;26,06%;2,63%;C2
3171;1838;BM;CIRA SUR;MUGROSA C;23-may;13;36,61;49,61;26,84%;156,83;492,61;70,35%;;19,62%;2,66%;7,37%;C2
3172;5099;BM;CIRA SUR;MUGROSA B;23-may;165;31,31;196,31;84,27%;6,17;6,18;58,85%;;22,17%;8,53%;10,45%;C1
3173;5048;BM;CIRA SUR;MUGROSA B;23-may;133;32;165;80,67%;10,36;10,68;44,58%;;40,85%;13,08%;1,49%;C1
3174;5049;BM;CIRA SUR;MUGROSA B;23-may;10;31;41;24,00%;41,98;42,63;38,94%;;54,27%;5,30%;1,50%;C1
3175;2274;ESP;CIRA NORTE;MUGROSA C;23-may;741;56,1;797,1;92,91%;422,41;1214,6;50,99%;;36,18%;11,87%;0,96%;C1
3176;2273;ESP;CIRA NORTE;MUGROSA C;24-may;704;50,5;754,5;93,27%;1804,11;2403,46;75,55%;;20,20%;3,80%;0,46%;C1
3177;5100;PCP;CIRA SUR;MUGROSA B;24-may;59;29,54;88,54;66,47%;2,81;2,96;58,74%;;27,80%;7,17%;6,28%;C1
3178;3940;ESP;CIRA NORTE;MUGROSA C;24-may;787;29,3;816,3;96,45%;658,59;709,24;14,14%;;79,08%;6,14%;0,64%;C1
3179;2924;BM;CIRA SUR;MUGROSA C;24-may;385;46,99;431,99;89,04%;134,85;136,62;70,60%;;23,51%;3,39%;2,51%;C1
3180;243;ESP;CIRA NORTE;MUGROSA C;24-may;248;1,47;249,47;99,45%;17,32;48,87;61,47%;;33,01%;3,10%;2,42%;C2
3181;2172;ESP;CIRA SUR;MUGROSA C;24-may;828;88,1;916,1;90,35%;658,62;2206,47;73,54%;;24,44%;1,89%;0,14%;C2
3182;2767;BM;CIRA ESTE;MUGROSA C;24-may;1260;73;1333;94,50%;6,2;18,39;33,28%;;27,48%;27,32%;11,92%;C2
3183;2907;PCP;CIRA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;24-may;212;6,3;218,3;97,14%;203,4;570,38;95,03%;;4,26%;0,44%;0,27%;C2
3184;2391;BM;INFA CENTRAL;MUGROSA B;24-may;0;2,4;2,4;1,00%;10,23;17,85;67,52%;;19,27%;7,06%;6,15%;C3
3185;2258;BM;CIRA ESTE;MUGROSA C;24-may;627;69,5;696,5;90,00%;41,03;89,18;65,25%;;26,20%;4,89%;3,66%;C3
3186;3120;BM;INFA CENTRAL;MUGROSA C;24-may;1110;73,83;1183,83;93,79%;102,43;193,58;58,40%;;35,32%;5,51%;0,77%;C3
3187;3210;BM;INFA SUR;MUGROSA C;24-may;1008;20;1028;98,08%;30,81;71,6;54,48%;;42,97%;1,33%;1,23%;C3
3188;2633;PCP;;;27-may;335;2,4;337,4;99,33%;555,8;580,07;97,83%;;1,86%;0,23%;0,08%;C1
3189;2984;ESP;CIRA NORTE;MUGROSA C;27-may;784;60,53;844,53;92,78%;228,89;235,22;24,27%;;19,75%;26,11%;29,87%;C1
3190;3378;BM;INFA NORTE;MUGROSA C;27-may;744;10,11;754,11;98,68%;20,27;20,38;86,45%;;4,35%;3,89%;5,32%;C2
3191;2852;BM;CIRA ESTE;MUGROSA C;27-may;358;20,6;378,6;94,67%;11,78;30,23;63,94%;;23,48%;6,50%;6,08%;C2
3192;2222;BM;CIRA NORTE;MUGROSA C;27-may;349;33,5;382,5;91,35%;29,22;29,65;69,39%;;20,35%;5,66%;4,61%;C3
3193;2553;PCP;;;27-may;14;42,62;56,62;25,00%;282,23;286,11;89,15%;;9,10%;1,03%;0,73%;C3
3194;2868;PCP;CIRA ESTE;MUGROSA C;27-may;384;31,9;415,9;92,31%;151,09;159,18;66,40%;;32,14%;1,08%;0,38%;C1
3195;3767;BM;INFA CENTRAL;MUGROSA C;27-may;380;20;400;94,94%;642,27;2633,54;95,92%;;3,15%;0,52%;0,41%;C1
3196;4600;PCP;CIRA SUR;MUGROSA C;27-may;236;32,9;268,9;87,80%;30,31;30,71;63,70%;;33,46%;0,97%;1,87%;C2
3197;2541;PCP;CIRA NORTE;MUGROSA C;27-may;527;43,1;570,1;92,37%;78,82;116,36;73,71%;;17,98%;6,92%;1,40%;C2
3198;2557;PCP;CIRA NORTE;MUGROSA C;27-may;157;85,17;242,17;64,65%;6,43;13,49;55,60%;;33,21%;8,40%;2,80%;C3
3199;3906;PCP;CIRA NORTE;MUGROSA C;27-may;369;31;400;92,31%;89,09;249,9;26,34%;;34,47%;23,94%;15,24%;C3
3200;5050;PCP;CIRA SUR;MUGROSA B;28-may;406;110;516;78,67%;24,43;26,43;50,78%;;31,82%;9,38%;8,02%;C1
3201;3767;BM;INFA CENTRAL;MUGROSA C;28-may;380;20;400;94,94%;31,2;33,54;87,54%;;9,12%;1,67%;1,67%;C1
3202;1726;BM;CIRA NORTE;MUGROSA B;28-may;85;67,5;152,5;55,69%;40,89;50,24;20,73%;;53,42%;20,03%;5,82%;C2
3203;3097;PCP;CIRA SUR;MUGROSA C;28-may;160;5,38;165,38;96,67%;5,16;14,82;64,95%;;31,31%;2,34%;1,40%;C2
3204;2258;BM;CIRA ESTE;MUGROSA C;28-may;627;69,5;696,5;90,00%;7,02;10,25;50,00%;;38,67%;6,31%;5,02%;C3
3205;2212;ESP;CIRA SUR;MUGROSA C;28-may;1423;76,89;1499,89;95,46%;8,54;27,16;55,40%;;34,43%;9,02%;1,15%;C3
3206;5052;BM;CIRA SUR;MUGROSA C;28-may;1;68,39;69,39;1,04%;1,89;3,3;67,55%;;21,19%;5,96%;5,30%;C1
3207;2123;PCP;CIRA SUR;MUGROSA B;28-may;106;94;200;53,00%;81,38;183,44;13,75%;;37,39%;42,74%;6,13%;C1
3208;342;BM;CIRA SUR;MUGROSA C;28-may;747;50,8;797,8;93,61%;358,67;1033,29;43,35%;;54,91%;1,13%;0,61%;C3
3209;2691;PCP;CIRA SUR;MUGROSA C;28-may;581;11,08;592,08;98,16%;3,85;6,51;68,01%;;23,92%;3,76%;4,30%;C3
3210;2251;BM;CIRA NORTE;MUGROSA C;28-may;839;42,7;881,7;95,15%;7,58;19,37;38,44%;;39,12%;14,88%;7,55%;C2
3211;2101;ESP;INFA SUR;MUGROSA C;28-may;1008;20;1028;98,08%;809,86;2103,75;25,42%;;49,02%;21,63%;3,93%;C2
3212;4009;PCP;;;29-may;83;95,9;178,9;46,40%;29,3;62,03;82,13%;;14,64%;2,07%;1,17%;C3
3213;4004;PCP;CIRA ESTE;MUGROSA C;29-may;590;21;611;96,60%;172,27;347,48;98,80%;;0,77%;0,11%;0,33%;C3
3214;4817;PCP;CIRA ESTE;MUGROSA C;29-may;156;168,7;324,7;48,00%;154,7;246,89;91,82%;;7,50%;0,56%;0,12%;C2
3215;2172;ESP;CIRA SUR;MUGROSA C;29-may;828;88,1;916,1;90,35%;203;432,07;63,22%;;28,56%;5,28%;2,94%;C2
3216;5055;BM;CIRA SUR;MUGROSA C;29-may;1;41,87;42,87;1,34%;14;24,74;46,99%;;39,02%;8,46%;5,53%;C1
3217;5105;BM;CIRA SUR;MUGROSA C;29-may;1;16,85;17,85;6,19%;4,99;10,06;51,04%;;20,83%;16,67%;11,46%;C1
3218;4805;PCP;CIRA ESTE;MUGROSA C;29-may;1056;137;1193;88,55%;19,79;61,07;65,14%;;17,01%;8,29%;9,56%;C1
3219;4002;PCP;CIRA ESTE;MUGROSA C;29-may;29;51,89;80,89;36,00%;10,05;10,99;34,99%;;44,42%;19,60%;0,99%;C1
3220;2936;BM;CIRA SUR;MUGROSA B;30-may;8;8;16;51,71%;1,33;2,24;52,34%;;32,71%;6,54%;8,41%;C1
3221;2924;BM;CIRA SUR;MUGROSA C;30-may;385;46,99;431,99;89,04%;16,22;32,47;25,31%;;58,51%;12,04%;4,14%;C1
3222;3945;PCP;CIRA NORTE;MUGROSA C;29-may;665;21,6;686,6;96,90%;10,31;35,65;79,69%;;6,18%;4,02%;10,12%;C2
3223;3017;PCP;CIRA ESTE;LA PAZ C;29-may;480;56,4;536,4;89,51%;452,44;1213,09;76,74%;;20,14%;1,93%;1,20%;C2
3224;2290;PCP;CIRA NORTE;MUGROSA C;30-may;579;62,1;641,1;90,36%;43,72;66,57;29,79%;;39,51%;22,87%;7,82%;C2
3225;2536;ESP;CIRA NORTE;MUGROSA C;30-may;1066;39,81;1105,81;96,43%;3370,59;6120,18;49,50%;;44,83%;5,45%;0,22%;C2
3226;4008;TUNDRA;;;29-may;95;19,2;114,2;83,20%;5,3;9,95;76,36%;;12,77%;8,15%;2,72%;C3
3227;4005;PCP;;;29-may;335;60,3;395,3;84,82%;46,32;123,24;67,32%;;30,51%;1,04%;1,13%;C3
3228;3553;PCP;;;30-may;14;42,62;56,62;25,00%;29,64;72,31;79,00%;;18,65%;1,77%;0,58%;C3
3229;2757;PCP;CIRA ESTE;MUGROSA C;30-may;102;16,25;118,25;86,19%;30,02;50,99;54,86%;;34,56%;6,26%;4,32%;C3
3230;5048;BM;CIRA SUR;MUGROSA B;30-may;133;32;165;80,67%;5,93;8,89;30,04%;;44,52%;19,74%;5,70%;C1
3231;5099;BM;CIRA SUR;MUGROSA B;30-may;102;16,25;118,25;86,19%;16,29;32,48;53,00%;;25,46%;17,63%;3,92%;C1
3232;5049;BM;CIRA SUR;MUGROSA B;31-may;10;31;41;24,00%;29,73;83,55;41,12%;;49,27%;8,00%;1,62%;C1
3233;5100;PCP;CIRA SUR;MUGROSA B;31-may;59;29,54;88,54;66,47%;7,15;15,92;55,84%;;29,67%;9,35%;5,14%;C1
3234;2246;ESP;CIRA NORTE;MUGROSA C;30-may;396;18,4;414,4;95,56%;73,01;203,18;18,23%;;37,68%;41,88%;2,21%;C2
3235;2237;BM;CIRA NORTE;MUGROSA C;30-may;981;28;1009;97,22%;26,16;63,75;53,88%;;29,85%;7,52%;8,74%;C2
3236;2217;BM;CIRA NORTE;MUGROSA C;30-may;779;30;809;96,30%;6,29;14,59;39,74%;;22,44%;27,56%;10,26%;C3
3237;928;BM;CIRA SUR;MUGROSA CB;30-may;445;0,2;445,2;100,00%;221,94;542,13;59,60%;;37,03%;3,08%;0,29%;C3
3238;5058;BM;CIRA SUR;MUGROSA B;31-may;5;37,02;42,02;12,18%;4,66;16,11;68,04%;;28,82%;2,75%;0,39%;C1
3239;5051;PCP;CIRA SUR;MUGROSA C;31-may;0;8,6;8,6;1,34%;1,48;2,83;57,34%;;41,26%;0,70%;0,70%;C1
3240;2913;BM;CIRA SUR;MUGROSA C;31-may;926;18,05;944,05;98,08%;28,64;69,26;63,43%;;16,23%;5,51%;14,83%;C2
3240,1;3201;BM;INFA SUR;MUGROSA C;31-may;1089;55,22;1144,22;95,15%;13,84;27,79;26,62%;;10,30%;33,75%;29,03%;C2
3241;3378;BM;INFA NORTE;MUGROSA C;31-may;744;10,11;754,11;98,68%;46,79;104,65;94,44%;;3,21%;0,86%;1,50%;C2
3242;3385;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;31-may;1267;88,49;1355,49;95,83%;594,24;1581,9;2,64%;;19,15%;54,35%;23,86%;C2
3243;2212;ESP;CIRA SUR;MUGROSA C;31-may;1432;67,89;1499,89;95,46%;154,22;425,56;53,83%;;31,64%;9,04%;5,48%;C3
3244;2878;BM;CIRA ESTE;ESMERALDAS - LA PAZ - MUGROSA DC;31-may;181;37,6;218,6;82,77%;10,23;18,55;60,79%;;19,52%;9,54%;10,15%;C3
3245;3060;ESP;CIRA ESTE;LA PAZ C;31-may;578;41,4;619,4;93,27%;74,63;247,51;21,75%;;65,47%;11,88%;0,90%;C3
3246;2597;PCP;CIRA NORTE;MUGROSA C;31-may;407;29,7;436,7;93,25%;27,85;65,74;42,13%;;42,63%;8,74%;6,51%;C3
3247;5103;PCP;CIRA SUR;MUGROSA C;4-jun;0;12,14;12,14;0,30%;1,82;4,52;32,78%;;17,78%;17,22%;32,22%;C1
3248;5102;BM;CIRA SUR;MUGROSA C;4-jun;1;68,75;69,75;1,03%;7,61;25,52;59,52%;;14,94%;15,58%;9,96%;C1
3249;2293;PCP;CIRA NORTE;MUGROSA C;4-jun;703;37,41;740,41;94,94%;23,75;36,75;50,45%;;29,40%;10,58%;9,56%;C1
3250;2265;PCP;CIRA NORTE;MUGROSA C;4-jun;600;59,65;659,65;91,00%;762,88;2806,52;78,27%;;20,87%;0,60%;0,26%;C1
3251;2655;BM;CIRA NORTE;MUGROSA C;4-jun;556;103,66;659,66;84,25%;117,9;401,29;71,62%;;25,93%;2,14%;0,32%;C2
3252;1775;BM;CIRA NORTE;MUGROSA C;4-jun;397;28,08;425,08;93,30%;15,72;29,3;39,93%;;33,38%;14,68%;12,01%;C2
3253;2536;ESP;CIRA NORTE;MUGROSA C;4-jun;1066;39,81;1105,81;96,43%;568,9;1133,52;60,07%;;35,67%;3,88%;0,38%;C2
3254;3020;ESP;;;4-jun;4;50,98;54,98;7,19%;44,03;123,11;50,00%;;32,96%;9,14%;7,89%;C2
3255;2859;PCP;CIRA ESTE;LA PAZ C;4-jun;945;37,7;982,7;96,15%;138,32;292,08;68,08%;;31,31%;0,38%;0,23%;C3
3256;1022;BM;CIRA ESTE;MUGROSA C;4-jun;380;12,08;392,08;97,00%;9,2;22,28;46,95%;;31,73%;12,94%;8,38%;C3
3257;2258;BM;CIRA ESTE;MUGROSA C;4-jun;627;69,5;696,5;90,00%;13,1;31,08;58,02%;;30,33%;5,83%;5,83%;C3
3258;2757;PCP;CIRA ESTE;MUGROSA C;4-jun;102;16,25;118,25;86,20%;15,26;31,73;68,88%;;23,56%;3,60%;3,96%;C3
3259;2212;ESP;CIRA SUR;MUGROSA C;5-jun;1432;67,89;1499,89;95,46%;25,54;34,25;67,66%;;25,90%;3,49%;2,94%;C3
3260;2470;BM;INFA CENTRAL;MUGROSA C;5-jun;445;33,1;478,1;93,02%;6,97;14,55;78,32%;;11,65%;4,85%;5,18%;C3
3261;3403;BM;CIRA ESTE;MUGROSA C;5-jun;925;70,6;995,6;92,95%;4,8;11,35;58,79%;;22,12%;18,48%;0,61%;C3
3262;2391;BM;INFA CENTRAL;MUGROSA B;5-jun;0;2,4;2,4;0,10%;19,38;49,32;83,72%;;10,60%;3,14%;2,54%;C3
3263;3538;TUNDRA;;;5-jun;183;18;201;91,00%;26,56;26,67;92,00%;;6,67%;1,04%;0,30%;C1
3264;2868;PCP;CIRA ESTE;MUGROSA C;5-jun;384;31,9;415,9;92,31%;90,7;91,72;74,51%;;23,36%;1,66%;0,46%;C1
3265;2837;BM;CIRA ESTE;MUGROSA C;5-jun;660;11,64;671,64;98,24%;15,6;55,31;63,65%;;17,25%;6,33%;12,78%;C1
3266;3767;BM;INFA CENTRAL;MUGROSA C;5-jun;671;35,87;706,87;94,94%;123,59;129,39;84,68%;;11,58%;1,68%;2,06%;C1
3267;2246;ESP;CIRA NORTE;MUGROSA C;6-jun;396;18,4;414,4;95,59%;22,31;22,46;24,38%;;35,88%;33,87%;5,87%;C1
3268;2273;ESP;CIRA NORTE;MUGROSA C;6-jun;704;50,5;754,5;93,27%;410,97;411,6;74,14%;;23,39%;2,07%;0,40%;C1
3269;3522;BM;;;5-jun;39;190,24;229,24;17,00%;10,7;18,07;43,02%;;46,79%;6,23%;3,96%;C2
3270;1726;BM;CIRA NORTE;MUGROSA B;5-jun;85;67,5;152,5;55,69%;9,46;9,54;55,44%;;38,13%;3,52%;2,91%;C2
3271;2541;PCP;CIRA NORTE;MUGROSA C;5-jun;527;43,1;570,1;92,37%;26,12;28,24;67,99%;;23,79%;5,18%;3,04%;C2
3272;3378;BM;INFA NORTE;MUGROSA C;5-jun;744;10,11;754,11;98,68%;52,17;90,73;64,29%;;14,97%;11,08%;9,66%;C2
3273;2101;ESP;CIRA SUR;MUGROSA C;6-jun;1601;98;1699;94,22%;136,39;190,19;36,20%;;56,72%;6,32%;0,77%;C2
3274;2536;PCP;CIRA NORTE;MUGROSA C;6-jun;1066;39,81;1105,81;96,43%;49,64;50,7;66,85%;;25,62%;3,85%;3,69%;C2
3275;2172;ESP;CIRA SUR;MUGROSA C;6-jun;828;88,1;916,1;90,35%;176,12;246,37;69,87%;;24,44%;4,83%;0,86%;C2
3276;2852;BM;CIRA ESTE;MUGROSA C;6-jun;358;20,6;378,6;94,67%;49,61;50,23;55,70%;;36,51%;4,46%;3,33%;C2
3277;3097;PCP;CIRA SUR;MUGROSA C;7-jun;160;5,38;165,38;96,67%;354,13;955,59;92,16%;;7,34%;0,32%;0,18%;C2
3278;3278;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;7-jun;1267;55,49;1322,49;95,83%;2,14;2,14;53,99%;;22,70%;7,36%;15,95%;C2
3279;4600;PCP;CIRA SUR;MUGROSA C;7-jun;24;244,9;268,9;8,78%;139,86;189;74,06%;;25,15%;0,47%;0,33%;C2
3280;3201;BM;INFA SUR;MUGROSA C;7-jun;1089;55,22;1144,22;95,15%;14,15;22,28;28,73%;;46,90%;16,50%;7,88%;C2
3281;3417;PCP;CIRA SUR;MUGROSA C;6-jun;997;12,96;1009,96;98,75%;6,22;6,29;66,81%;;20,46%;6,89%;5,85%;C3
3282;3120;BM;INFA CENTRAL;MUGROSA C;6-jun;1110;73,83;1183,83;93,79%;18,67;18,89;40,84%;;42,44%;8,64%;8,08%;C3
3283;4632;ESP;CIRA SUR;MUGROSA C;6-jun;486;33,57;519,57;93,59%;22,49;22,75;58,89%;;28,89%;7,41%;4,81%;C3
3284;2310;BM;INFA SUR;MUGROSA C;6-jun;1008;20;1028;98,08%;63,76;64,32;62,34%;;34,72%;1,33%;1,62%;C3
3285;342;BM;CIRA SUR;MUGROSA C;7-jun;785;12,8;797,8;98,36%;27,4;27,64;70,02%;;27,93%;1,52%;0,52%;C3
3286;2691;PCP;CIRA SUR;MUGROSA C;7-jun;581;11,08;592,08;98,16%;11,74;11,88;71,02%;;24,78%;2,54%;1,66%;C3
3287;3957;BM;CIRA SUR;MUGROSA C;7-jun;569;46,4;615,4;92,53%;3,97;4,01;36,62%;;44,01%;10,56%;8,80%;C3
3288;3464;PCP;CIRA SUR;MUGROSA C;7-jun;617;36,8;653,8;94,30%;43,23;43,45;70,12%;;27,18%;1,28%;1,43%;C3
3289;3940;ESP;CIRA NORTE;MUGROSA C;6-jun;787;29,3;816,3;96,45%;870,26;878,57;6,25%;;58,04%;33,11%;2,59%;C1
3290;2936;BM;CIRA SUR;MUGROSA B;6-jun;8;8;16;51,71%;7,82;8,45;43,49%;;35,70%;16,07%;4,74%;C1
3291;5100;PCP;CIRA SUR;MUGROSA B;7-jun;59;29,54;88,54;66,47%;10,42;10,43;34,68%;;40,23%;16,90%;8,20%;C1
3292;5050;PCP;CIRA SUR;MUGROSA B;7-jun;406;110;516;78,67%;10,54;10,74;58,22%;;30,86%;8,09%;2,83%;C1
3293;5099;BM;CIRA SUR;MUGROSA B;7-jun;165;31,31;196,31;84,27%;116,55;117,03;62,74%;;7,85%;2,27%;27,14%;C1
3294;5049;BM;CIRA SUR;MUGROSA B;7-jun;10;31;41;24,00%;29,53;29,91;45,82%;;47,52%;4,74%;1,92%;C1
3295;3767;BM;INFA CENTRAL;MUGROSA C;10-jun;671;35,87;706,87;94,94%;97,29;302,31;70,20%;;27,61%;0,57%;1,62%;C1
3296;3461;PCP;CIRA SUR;MUGROSA C;10-jun;1;15,04;16,04;3,80%;21,68;22,07;64,62%;;21,68%;9,88%;3,82%;C1
3297;2123;PCP;CIRA SUR;MUGROSA B;10-jun;106;94;200;53,00%;27,1;143,62;49,20%;;34,75%;10,85%;5,21%;C1
3298;2242;ESP;CIRA NORTE;MUGROSA C;10-jun;358;13,3;371,3;96,55%;0,88;0,89;5,97%;;37,31%;28,36%;28,36%;C1
3299;2243;BM;CIRA NORTE;MUGROSA C;11-jun;784;39,7;823,7;95,20%;42,88;43,21;78,98%;;16,99%;1,85%;2,19%;C1
3300;2924;BM;CIRA SUR;MUGROSA C;11-jun;385;46,99;431,99;89,04%;5,32;5,43;66,25%;;16,88%;9,57%;7,30%;C1
3301;2278;BM;CIRA SUR;MUGROSA C;11-jun;633;52,6;685,6;92,31%;21,09;21,49;40,80%;;44,38%;13,40%;1,42%;C1
3302;5048;BM;CIRA SUR;MUGROSA B;11-jun;133;32;165;80,67%;1,57;4,29;61,78%;;19,11%;13,38%;5,73%;C1
3303;3378;BM;INFA NORTE;MUGROSA C;11-jun;744;10,11;754,11;98,68%;105,45;107,13;94,30%;;2,50%;1,85%;1,36%;C2
3304;2536;ESP;CIRA NORTE;MUGROSA C;10-jun;1066;39,81;1105,81;96,43%;265,95;734,77;79,82%;;18,60%;1,41%;0,17%;C2
3305;4817;PCP;CIRA ESTE;MUGROSA C;10-jun;156;168,7;324,7;48,00%;27,35;27,65;29,25%;;40,03%;25,69%;5,03%;C2
3306;2541;PCP;CIRA NORTE;MUGROSA C;10-jun;527;43,1;570,1;92,37%;32,3;39,69;75,10%;;17,45%;4,02%;3,42%;C2
3307;3017;PCP;CIRA ESTE;LA PAZ C;11-jun;480;56,4;536,4;89,51%;28,34;28,63;57,79%;;28,25%;8,04%;5,93%;C2
3308;1726;BM;CIRA NORTE;MUGROSA B;11-jun;85;67,5;152,5;55,69%;13,85;17,26;34,06%;;46,07%;15,22%;4,66%;C2
3309;2251;BM;CIRA NORTE;MUGROSA C;11-jun;839;42,7;881,7;95,15%;7,56;7,71;17,61%;;68,38%;8,55%;5,47%;C2
3310;2268;ESP;CIRA NORTE;MUGROSA C;11-jun;1248;64;1312;95,16%;16,94;41,57;31,69%;;30,15%;29,39%;8,77%;C2
3311;928;BM;CIRA SUR;MUGROSA CB;10-jun;4;441,2;445,2;1,00%;11,2;11,34;69,39%;;23,25%;4,44%;2,92%;C3
3312;2212;ESP;CIRA SUR;MUGROSA C;10-jun;1432;67,89;1499,89;95,46%;258,05;259,28;60,99%;;24,63%;5,27%;9,11%;C3
3313;2217;BM;CIRA NORTE;MUGROSA C;10-jun;779;30;809;96,30%;59,18;59,23;55,00%;;28,18%;12,91%;3,91%;C3
3314;2258;BM;CIRA ESTE;MUGROSA C;10-jun;63;633,5;696,5;9,00%;23,25;23,37;69,61%;;25,28%;2,92%;2,19%;C3
