Nombre;NAME;TOPX;TOPY;LEASE;CURRENTTYPE;STRUCTURE;MOP
330;CIRA0330;1032278.22;1263261.99;330;PROD_OIL;CIRA SOUTH;BEAM
331;CIRA0331;1032669.34;1263021.06;331;PROD_OIL;CIRA SOUTH;BEAM
334;CIRA0334;1032692.63;1263422.36;334;PROD_OIL;CIRA SOUTH;BEAM
336;CIRA0336;1033213.14;1264074.24;336;PROD_OIL;CIRA SOUTH;BEAM
339;CIRA0339;1032969.33;1263466.4;339;PROD_OIL;CIRA SOUTH;BEAM
341;CIRA0341;1033052.82;1264578.61;341;PROD_OIL;CIRA SOUTH;BEAM
342;CIRA0342;1033213.21;1264473.99;342;PROD_OIL;CIRA SOUTH;BEAM
343;CIRA0343;1033385.94;1264375.46;343;PROD_OIL;CIRA SOUTH;BEAM
352;CIRA0352;1032822.22;1263243.16;352;PROD_OIL;CIRA SOUTH;BEAM
354;CIRA0354;1033218;1261676.42;354;PROD_OIL;CIRA SOUTH;BEAM
355;CIRA0355;1032854.55;1264078.55;355;PROD_OIL;CIRA SOUTH;BEAM
356;CIRA0356;1032525.11;1264067.73;356;PROD_OIL;CIRA SOUTH;BEAM
357;CIRA0357;1033392.95;1264174.42;357;PROD_OIL;CIRA SOUTH;PROG_CAVITY
360;CIRA0360;1033741.35;1265780.44;360;PROD_OIL;CIRA EAST;BEAM
366;CIRA0366;1032910.51;1263374.25;366;PROD_OIL;CIRA SOUTH;BEAM
367;CIRA0367;1033085.44;1262086.46;367;PROD_OIL;CIRA SOUTH;BEAM
368;CIRA0368;1032952.41;1261706.72;368;PROD_OIL;CIRA SOUTH;BEAM
372;CIRA0372;1033065.19;1263573.05;372;PROD_OIL;CIRA SOUTH;BEAM
376;CIRA0376;1033021.84;1263375.85;376;PROD_OIL;CIRA SOUTH;BEAM
377;CIRA0377;1032796.6;1263572.71;377;PROD_OIL;CIRA SOUTH;BEAM
380;CIRA0380;1032930.78;1263650.93;380;PROD_OIL;CIRA SOUTH;BEAM
381;CIRA0381;1033198.71;1263650.74;381;PROD_OIL;CIRA SOUTH;BEAM
385;CIRA0385;1033076.8;1263481.65;385;PROD_OIL;CIRA SOUTH;BEAM
388;CIRA0388;1033199.01;1263495.58;388;PROD_OIL;CIRA SOUTH;BEAM
390;CIRA0390;1032518.36;1263880.37;390;PROD_OIL;CIRA SOUTH;BEAM
394;CIRA0394;1032796.28;1263417.57;394;PROD_OIL;CIRA SOUTH;BEAM
395;CIRA0395;1033901.1;1266476.92;395;PROD_OIL;CIRA EAST;BEAM
397;CIRA0397;1032836.18;1263487.26;397;PROD_OIL;CIRA SOUTH;BEAM
399;CIRA0399;1031476.89;1261670.26;399;PROD_OIL;CIRA SOUTH;PROG_CAVITY
401;CIRA0401;1033064.84;1263727.87;401;PROD_OIL;CIRA SOUTH;BEAM
402;CIRA0402;1033064.88;1263413.33;402;PROD_OIL;CIRA SOUTH;BEAM
403;CIRA0403;1032805.68;1263727.75;403;PROD_OIL;CIRA SOUTH;BEAM
404;CIRA0404;1032661.02;1263494.1;404;PROD_OIL;CIRA SOUTH;BEAM
405;CIRA0405;1032927.19;1263488.2;405;PROD_OIL;CIRA SOUTH;BEAM
408;CIRA0408;1032731.53;1263479.95;408;PROD_OIL;CIRA SOUTH;BEAM
409;CIRA0409;1033028.45;1263587.04;409;PROD_OIL;CIRA SOUTH;BEAM
411;CIRA0411;1033690.44;1265809.01;411;PROD_OIL;CIRA EAST;BEAM
420;CIRA0420;1032521.39;1264274.77;420;PROD_OIL;CIRA SOUTH;BEAM
421;CIRA0421;1033381.93;1264580.77;421;PROD_OIL;CIRA SOUTH;BEAM
430;CIRA0430;1032520.08;1264879.29;430;PROD_OIL;CIRA SOUTH;BEAM
431;CIRA0431;1033041.03;1262384.61;431;PROD_OIL;CIRA SOUTH;BEAM
436;CIRA0436;1032353.66;1264771.19;436;PROD_OIL;CIRA SOUTH;BEAM
441;CIRA0441;1032006.3;1263973.07;441;PROD_OIL;CIRA SOUTH;BEAM
442;CIRA0442;1032347.69;1264372.96;442;PROD_OIL;CIRA SOUTH;BEAM
447;CIRA0447;1033215.39;1261480.32;447;PROD_OIL;CIRA SOUTH;BEAM
